Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl
186848,S1200,Q12,F,26-30,true,false,false
186949,S1200,Q13,M,22-25,false,true,false
187143,S500,Q05,M,26-30,false,false,false
187345,S900,Q09,F,31-35,true,true,false
187547,S500,Q06,F,31-35,true,false,false
187850,S500,Q06,M,22-25,true,false,false
188145,S1200,Q12,F,31-35,true,false,false
188246,S900,Q08,M,26-30,false,false,false
188347,Q3,Q04,F,26-30,true,false,false
188448,S900,Q11,F,22-25,true,false,false
188549,S900,Q08,M,22-25,true,false,false
188751,S900,Q10,M,26-30,true,false,false
189349,S500,Q05,F,26-30,true,false,false
189450,Q3,Q04,M,22-25,true,false,false
189551,S1200,Q12,F,31-35,false,false,false
189652,S1200,Q13,M,26-30,true,false,false
190031,Q3,Q03,F,26-30,true,false,false
190132,S900,Q07,F,31-35,false,false,false
190940,S1200,Q13,M,31-35,false,false,false
191033,S500,Q06,F,26-30,true,true,true
191235,S1200,Q10,M,22-25,true,false,false
191336,S500,Q04,M,26-30,true,true,false
191437,Q1,Q02,F,31-35,false,false,true
191639,S900,Q02,M,22-25,false,false,false
191841,S500,Q04,F,26-30,true,true,false
191942,S900,Q11,M,26-30,true,false,false
192035,S900,Q07,F,26-30,true,false,false
192136,S900,Q11,M,22-25,true,false,false
192237,S1200,Q11,F,31-35,true,false,false
192439,Q1,Q01,F,31-35,false,true,false
192540,Q1,Q01,F,26-30,true,false,false
192641,MEG2,Q07,F,31-35,true,true,true
192843,S500,Q05,M,26-30,true,false,false
193239,Q2,Q02,F,26-30,true,false,false
193441,S900,Q07,M,26-30,false,false,false
193845,S1200,Q13,M,22-25,true,true,false
194140,Q1,Q01,F,26-30,true,false,false
194443,S1200,Q12,M,26-30,true,false,false
194645,S500,Q06,M,26-30,true,false,false
194746,S900,Q07,M,31-35,true,false,false
194847,S500,Q04,F,31-35,true,false,false
194948,S900,Q04,F,31-35,false,false,false
195041,S500,Q07,F,31-35,true,true,false
195445,S900,Q09,F,26-30,true,false,false
195647,Q2,Q02,F,31-35,false,false,false
195849,S500,Q05,M,22-25,true,false,false
195950,S900,Q10,M,26-30,true,false,false
196144,Q2,Q02,F,31-35,true,true,false
196346,S900,Q11,M,26-30,true,false,false
196548,S900,Q03,M,22-25,false,false,false
196750,Q3,Q03,F,26-30,true,false,false
196851,S1200,Q09,M,26-30,false,false,false
196952,S1200,Q13,F,26-30,false,false,false
197348,S500,Q06,F,26-30,true,true,false
197449,Q3,Q04,F,22-25,false,false,false
197550,Q1,Q01,F,26-30,false,false,false
197651,S500,Q04,F,31-35,false,false,false
197954,S500,Q05,F,31-35,false,false,false
198047,S1200,Q13,F,26-30,true,false,false
198249,S900,Q08,M,26-30,true,false,false
198350,S500,Q05,M,31-35,true,false,false
198451,Q3,Q03,M,26-30,true,false,false
198653,S900,Q10,M,22-25,true,true,true
198855,S500,Q05,M,26-30,true,false,false
199150,Q1,Q01,F,26-30,true,false,false
199251,Q1,Q01,F,31-35,false,false,false
199352,S1200,Q12,F,22-25,true,false,false
199453,S500,Q05,M,22-25,true,false,false
199554,S1200,Q03,M,31-35,false,false,false
199655,Q3,Q03,M,31-35,true,true,false
199958,S500,Q05,M,31-35,true,false,false
200008,S900,Q09,F,26-30,true,false,false
200109,S500,Q06,F,31-35,true,false,false
200210,S900,Q11,M,26-30,false,true,false
200311,S900,Q09,M,31-35,true,true,false
200513,S1200,Q12,M,22-25,true,false,false
200614,Q1,Q01,F,31-35,true,true,false
200816,S1200,Q12,F,26-30,false,false,false
200917,S900,Q10,F,22-25,true,false,false
201111,Q1,Q01,M,26-30,true,false,false
201414,Q3,Q04,F,22-25,true,false,false
201515,S900,Q09,M,26-30,true,true,false
201717,S900,Q03,M,22-25,false,false,false
201818,S500,Q05,F,26-30,true,false,false
202113,S900,Q10,F,22-25,true,false,false
202719,S900,Q11,M,22-25,true,false,false
202820,S1200,Q12,F,36+,false,false,false
203418,S500,Q04,M,26-30,true,true,false
203721,S900,Q06,F,31-35,false,false,false
203923,S900,Q09,F,26-30,true,false,false
204016,S500,Q06,F,22-25,true,false,false
204117,S900,Q05,F,26-30,false,false,false
204218,S1200,Q09,M,26-30,true,false,false
204319,S900,Q08,F,26-30,true,false,false
