Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
175338,S900,Q10,F,22-25,true,false,false,0.6630875,0.7718752
175439,Q2,Q02,F,31-35,true,false,false,0.10722812,0.023437709
175742,S900,Q08,F,31-35,true,false,false,0.12923333,0.34869814
176037,S900,Q08,F,26-30,true,false,false,0.14772291,0.47395855
176239,S900,Q07,M,31-35,true,false,false,0.22220208,0.37434918
176441,S900,Q11,M,26-30,true,false,false,0.070769794,0.38177103
176542,Q3,Q03,F,26-30,true,true,false,0.44394687,0.9765627
176845,S1200,Q11,F,26-30,true,false,false,0.12480625,0.7750002
177140,S1200,Q13,F,31-35,true,true,false,0.41985834,0.9179689
177241,S900,Q08,M,26-30,true,false,false,0.13548334,0.1984377
177645,S500,Q05,F,26-30,true,true,false,0.2960302,0.38359395
178142,S500,Q05,F,26-30,true,true,false,0.49069166,0.7226564
178243,S900,Q10,M,22-25,true,true,false,0.097202085,0.1983075
178647,S900,Q08,F,31-35,true,true,false,0.24264479,0.5218752
178849,S500,Q06,M,22-25,true,false,false,0.11699375,0.44869813
178950,Q3,Q04,M,31-35,true,false,false,0.11725417,0.8196617
179245,S900,Q10,F,31-35,true,false,false,0.05618646,0.36106792
179346,S500,Q06,F,26-30,true,false,false,0.4477229,0.8309898
180129,S500,Q06,F,26-30,true,false,false,0.029884376,0.016536666
180230,S1200,Q13,F,26-30,true,false,false,0.32975417,0.7203127
180432,S500,Q04,F,31-35,true,false,false,0.18704583,0.5985679
180735,S900,Q08,F,31-35,true,false,false,0.12780105,0.10039084
180836,S500,Q05,F,31-35,true,false,false,0.03730625,0.4218752
180937,S500,Q06,M,36+,true,false,false,0.7306656,0.70078146
181131,S500,Q06,F,31-35,true,false,false,0.11425938,0.19869812
181232,S500,Q04,F,26-30,true,true,false,0.5585302,0.9296877
181636,S900,Q08,F,31-35,true,false,false,0.09824375,0.7553387
182436,S900,Q07,F,31-35,true,true,false,0.12024896,0.07604188
182739,Q1,Q01,F,26-30,true,true,false,0.48834792,0.7218752
183034,S500,Q05,M,31-35,true,false,false,0.047983333,0.05312521
185038,S1200,Q11,M,31-35,true,false,false,0.051629167,0.09882833
185139,Q2,Q01,F,31-35,true,false,false,0.037827082,0.09466167
185341,S900,Q09,F,22-25,true,false,false,0.34642082,0.7664065
185442,S500,Q07,M,22-25,true,true,true,0.2474625,0.33359396
185947,S900,Q08,F,26-30,true,false,false,0.98444164,0.9843752
